Method,Standard Deviation,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
importance_estimate_per_node_method,1000,4000,185145.75,0.006166064739227295,125043576982.7875,0.11485397112921136,"1643066.0, 1576315.0, 1736158.0, 1563733.0, 1489815.0, 1470916.0, 1528526.0, 3031421.0, 1133760.0, 1647627.0, 1424237.0, 1463328.0, 1870205.0, 1555811.0, 1668196.0, 1440894.0, 1453197.0, 1520704.0, 1618412.0, 1562994.0"
importance_estimate_per_node_method,1500,5,883578.9,0.004355502128601074,1910642222793.4102,0.5481224682229018,"6655387.0, 1635101.0, 2871755.0, 990652.0, 491437.0, 1809008.0, 1760933.0, 588490.0, 1219558.0, 1108234.0, 942773.0, 591316.0, 1393313.0, 2731719.0, 1580204.0, 715264.0, 2059637.0, 2860082.0, -49755.0, 1588598.0"
importance_estimate_per_node_method,1500,100,319309.05,0.004306089878082275,176637550256.02753,0.19808130842860777,"2071291.0, 1277143.0, 1428145.0, 1856109.0, 1730306.0, 1811028.0, 1610239.0, 1659450.0, 1651419.0, 2439022.0, 2085580.0, 1460380.0, 1488479.0, 1535989.0, 1291033.0, 2033670.0, 1422911.0, 2419705.0, 534192.0, 1901132.0"
importance_estimate_per_node_method,1500,500,536424.6,0.0045182228088378905,659084571577.51,0.3327675386629116,"1670738.0, 1638142.0, 2812342.0, 1486240.0, 1935972.0, 125854.0, 1333179.0, 1816499.0, -772678.0, -123988.0, 2184573.0, 1125230.0, 1808893.0, 1474403.0, 1886338.0, 1742695.0, 1264455.0, 1466552.0, 1601194.0, 2212741.0"
importance_estimate_per_node_method,1500,1000,274310.8,0.005210936069488525,196153575841.35,0.1701669344482975,"1670322.0, 1456372.0, 1573695.0, 2131707.0, 973298.0, 1754168.0, 1701446.0, 1021870.0, 1671397.0, 1755144.0, 1942727.0, 1629070.0, 3249395.0, 1579024.0, 1675471.0, 1409238.0, 1679049.0, 1671570.0, 1951374.0, 1912953.0"
importance_estimate_per_node_method,1500,2000,186507.4,0.0058188319206237795,57402854838.81,0.11569866191897074,"1691323.0, 1588705.0, 1423686.0, 1634236.0, 1714465.0, 1880041.0, 1510725.0, 1983994.0, 1289655.0, 1176613.0, 1598486.0, 1597921.0, 1639604.0, 1462502.0, 1202690.0, 2091661.0, 1668722.0, 1459286.0, 1832646.0, 1903725.0"
importance_estimate_per_node_method,1500,3000,480871.1,0.006179988384246826,2023974824357.0103,0.29830528346598345,"866333.0, 1647084.0, -4834482.0, 1626064.0, 1685525.0, 1824969.0, 1559957.0, 1749788.0, 2040812.0, 1383361.0, 1611417.0, 1960874.0, 1352906.0, 1679256.0, 1570525.0, 1479266.0, 1757865.0, 1465735.0, 1635721.0, 1535518.0"
importance_estimate_per_node_method,1500,4000,190036.75,0.006092476844787598,67635346602.447495,0.11788807141394905,"1965007.0, 1414598.0, 1619029.0, 1415756.0, 1233210.0, 1488241.0, 1599568.0, 1436160.0, 2295481.0, 1210797.0, 1606230.0, 1621664.0, 1590160.0, 1622272.0, 1976985.0, 1667368.0, 1659606.0, 1410864.0, 1900116.0, 1345229.0"
estimate_variance_reduction_method,1,5,402561.82049379236,0.005924510955810547,259210979786.83746,0.2497266273123569,"2862018.5279395934, 1661929.3028797728, 1197022.3537419455, 1753193.8586542008, 1141632.2120666746, 1284274.5867710474, 528270.392293723, 1795408.2026570383, 1643392.3442351362, 1514452.1355755671, 1103847.1501988394, 1652483.7590900722, 2224722.0972437193, 1209636.9512815366, 933841.5116130536, 1920703.3768704578, 2069990.0753191393, 1292597.8664093863, 1679280.0445577968, 1006310.0196193053"
estimate_variance_reduction_method,1,100,132364.29939227775,0.004571759700775146,21913994034.299953,0.08211133888268544,"1585531.074269404, 1665215.4839512443, 1880191.3992916665, 1819170.175977555, 1477415.2835835374, 1655493.0083583707, 1869191.4025948832, 1712214.7891680256, 1476033.8568968417, 1787941.1810358223, 1688681.134996525, 1489607.0213152615, 1528785.566182673, 1879905.5643143107, 1440038.683333697, 1575047.739772746, 1628563.1587555583, 1692927.523620071, 1449675.2523133243, 1837965.6434490078"
estimate_variance_reduction_method,1,500,49124.709445075845,0.00489046573638916,3106632793.9040976,0.03047419646594987,"1582416.8365020996, 1630880.7990259344, 1621935.1916014624, 1644227.848330817, 1538837.5641538089, 1585544.4279633397, 1672859.6778868996, 1568757.172561291, 1548294.2947887043, 1586557.5265715697, 1589146.9341083409, 1715455.196834319, 1643684.644349727, 1662459.208194149, 1665767.6110338906, 1728182.3993148536, 1669269.1362839136, 1695102.2256896289, 1539742.4577469632, 1604012.535247961"
