Method,Power,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
importance_estimate_per_node_method,2,4000,1035.3,1.2101358890533447,1619462.06,0.0011793855302279482,"877396.0, 878941.0, 876866.0, 876815.0, 877153.0, 877521.0, 875213.0, 875342.0, 876809.0, 880154.0, 877726.0, 877460.0, 878038.0, 877516.0, 879281.0, 877599.0, 879958.0, 876713.0, 876356.0, 878179.0"
estimate_importance_variance_reduction_method,2,5,29335.645488644728,1.6556627869606018,1279295057.4185164,0.03341836743862107,"901606.9268357144, 925703.8736910509, 902785.4100379256, 904342.4279277303, 889596.200584456, 852396.5298900049, 893275.1290093367, 910605.2628273406, 864604.5541580181, 799028.3446406046, 844550.910618064, 810482.6298447098, 865808.2358551173, 942674.1771781361, 920028.6963906521, 873691.9243295951, 858452.8163911923, 891301.6161622292, 853452.9569182281, 882922.0917738568"
estimate_importance_variance_reduction_method,2,100,5790.16593789077,1.6744660973548888,48534035.48228547,0.0065959991546094,"878789.3282468879, 866149.6703047022, 884083.5738864391, 884843.5990732574, 888149.6543760551, 878486.0089294676, 883899.9665451698, 879645.4907084628, 882615.3185570192, 870026.9954971541, 886665.6141031439, 880717.5069851632, 871649.1945065088, 878031.2993212614, 871842.1745065345, 874476.3291318145, 881248.030620004, 868701.8411420289, 894641.8390085165, 879472.2934857104"
estimate_importance_variance_reduction_method,2,500,1819.1418775749685,1.829774296283722,5016881.708002594,0.0020723168239579056,"873902.581679076, 877604.5508806402, 875776.5143401335, 874002.1671791523, 875143.1236396852, 878554.0174756733, 878893.5661688623, 880584.218886721, 875183.3031132236, 878577.7960272884, 881213.6319581947, 876905.8148743449, 878671.3080483531, 879291.7455820753, 877817.8590448356, 878969.1863084697, 879629.6136578465, 882362.838292718, 878157.4725723063, 876526.6426759181"
estimate_importance_variance_reduction_method,2,1000,1884.0162797555154,1.964393711090088,4602548.030914896,0.0021462199739761857,"876675.4574423264, 875358.6558209179, 880760.537369059, 878825.99109122, 875708.8697150453, 880795.2890660182, 876387.6129584835, 874252.9257933033, 880807.3019790845, 877545.1990032642, 879014.1833337281, 878673.4423222021, 878942.760934987, 874854.5846004939, 876561.8216153159, 876588.1276530069, 881108.466625804, 877730.8424768737, 879662.9096250708, 874906.4596730325"
estimate_importance_variance_reduction_method,2,2000,1092.5812605704646,2.27260936498642,1849780.589510205,0.0012446387803680264,"877042.0769114298, 877934.600214935, 878474.2593836103, 877397.3682448742, 878043.4906628341, 876058.9823642209, 880514.3514512306, 876137.2079845294, 879183.9479824825, 876425.2694320543, 875889.8434817906, 880730.443217488, 878974.65759358, 876662.0150546283, 877943.0782997356, 877349.9945770105, 879646.5456407805, 878034.7270039156, 878123.2641174899, 878531.0176938651"
estimate_importance_variance_reduction_method,2,3000,1231.1874280309653,2.5796371698379517,2271996.5156922108,0.0014025351469315992,"875975.6278620643, 879204.5372661484, 877284.7524932531, 876673.3484260536, 878133.9630012126, 876864.6962791872, 879776.5662578144, 877990.3269479806, 877600.4980815916, 878174.0277759469, 877798.0524345743, 879348.5224322929, 880995.0484832693, 878749.1042230357, 877431.6764351408, 879195.673902891, 875706.3859688784, 881275.3943511402, 878892.7349293526, 876117.113029722"
estimate_importance_variance_reduction_method,2,4000,995.6494581871375,2.8538623690605163,1437562.778219226,0.0011342167141555168,"877069.4836654938, 876776.9931773652, 879001.5879162895, 875451.5056265012, 877422.1052683353, 876431.7065420058, 878868.1511588359, 877059.3074415872, 879246.8348142594, 878195.2615380948, 877212.9736662727, 877109.3825510842, 877152.3714082179, 878825.8184097727, 877900.6447752557, 877455.0849946383, 877130.3232318993, 876415.3105711349, 880854.9161930787, 878386.3225026918"
estimate_variance_reduction_method,1,5,35273.2624810252,1.800362801551819,1731964498.4834867,0.04018233881392207,"858694.5727557451, 870318.3338886285, 925508.3870163718, 853048.2871851829, 844799.4621018887, 826522.1223303986, 974204.4974380578, 906213.5470737247, 890785.8682960387, 915052.5349627053, 834196.3444164977, 846611.9029470586, 885045.3116072143, 862697.036254027, 846044.6318917681, 833251.5176010082, 874166.6272404435, 810505.7555173859, 922679.3051432674, 935512.392213157"
estimate_variance_reduction_method,1,100,5490.848456552148,1.8258432149887085,59896362.40104882,0.006255024841429602,"880152.3549228123, 890916.966710019, 867230.7457264978, 889072.9625261021, 876880.3255513347, 878604.5892503887, 877995.1394211174, 883191.5470352602, 883710.2070010708, 857139.562521393, 876490.1511472496, 881993.6429495863, 886236.8619022187, 878317.5873162533, 880461.7562240284, 886440.3171928801, 878234.3167337667, 878099.0044343894, 866155.3381720468, 878585.8386296714"
estimate_variance_reduction_method,1,500,2790.197473338968,1.9668572425842286,14356918.483880734,0.0031785168806476977,"880515.4773689067, 871758.9627622023, 881871.9015504128, 876850.3140324348, 875825.3669473255, 876879.2105579068, 873737.457715534, 877562.8393353521, 882147.6284892407, 868321.1225465498, 878280.331208004, 881596.093915189, 880519.4181811702, 878405.3689335628, 879373.9939822513, 877462.1111778413, 878107.999413639, 869452.1469109487, 878670.1166801746, 879825.1517303236"
estimate_variance_reduction_method,1,1000,2207.9088739359927,2.108168125152588,7515902.476828674,0.0025151895856099617,"873249.4944474264, 874877.5011978904, 877268.9944739764, 876840.0169602503, 878264.7603915822, 876428.5307268618, 879446.7427854892, 878477.4226680923, 881050.5857479824, 875579.0154689277, 882915.3255743901, 878173.0882731228, 882402.9700543924, 876679.4955979763, 876417.849365668, 872972.7920311837, 878497.6738241767, 881302.7964234245, 874250.703575288, 878191.2055815164"
estimate_variance_reduction_method,1,2000,1022.460459379456,2.3894312143325807,1617216.7936140194,0.0011647590756518414,"878156.7563882502, 879287.7235086923, 878382.2736020527, 877458.0814037226, 876674.7046577175, 876271.4434109977, 879149.5270022295, 874035.3215213368, 879782.956211572, 877675.1706151242, 876923.5049899908, 878094.8641636745, 877795.3957495919, 877007.1210202455, 877696.6091237766, 875860.5303346693, 877324.9424108798, 877390.0038871473, 876271.3720253358, 876660.6905383464"
estimate_variance_reduction_method,1,3000,1086.7661248859658,2.6504210114479063,1656118.1906489234,0.0012380143363589372,"879905.3489905276, 875693.4798679302, 877276.4070617394, 876786.3116273405, 875831.2671575629, 876658.9752990241, 876632.7903182274, 879222.7429247444, 878639.8900860645, 878909.8135789764, 877863.6528487132, 876091.4695397294, 878450.1945680953, 878231.4570797443, 879368.6470773155, 878280.2415191318, 880159.6747185189, 877854.8470766313, 877061.159509989, 877459.3275892009"
estimate_variance_reduction_method,1,4000,993.0208830946882,2.9372812509536743,1491868.031549892,0.0011312223130841826,"876784.2858728667, 879071.9978197148, 877803.2163203008, 877950.8084421639, 876396.3354213013, 880549.8525838464, 880067.2898256773, 878050.0543345694, 877740.2803708282, 876792.4095178852, 878493.133405013, 878595.9181662077, 879737.2079606896, 878092.2483060566, 877235.0073593763, 878278.509530014, 879227.8585828166, 877225.3096732851, 875989.9796929815, 876627.6370660503"
