Method,Power,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
estimate_sampled_line_importance_variance_reduction_method_50,2,2000,3907.7661117854527,42.74101150035858,19586696.5573579,0.0023283768619999337,"1678562.3728908075, 1683673.7605744638, 1682703.7252454024, 1683784.4347286301, 1682819.1824375493, 1681777.5725125584, 1680374.3361854327, 1670360.7226848851, 1690724.6876686728, 1678778.163907143, 1675121.818011475, 1680076.1296129778, 1684033.5280445956, 1684080.542477615, 1681034.7762780322, 1680724.2111720487, 1675957.4357854698, 1674529.4896065798, 1675562.9021875618, 1676883.7332242487"
estimate_sampled_line_importance_variance_reduction_method_50,2,3000,3030.0500624511506,61.873104536533354,11456832.284118589,0.0018054044828412848,"1678876.5360022138, 1675459.8296214715, 1677037.0318178518, 1673345.0214203894, 1674351.6824599402, 1676949.617508513, 1673361.9187371405, 1677782.7167135132, 1680394.5131692432, 1680208.9636141893, 1675445.2826386336, 1675771.9246116371, 1683550.6687310943, 1681637.7041349448, 1682609.813631086, 1677331.6636358916, 1682869.9931958888, 1674528.8114820642, 1680693.7766856689, 1672163.46726826"
estimate_sampled_line_importance_variance_reduction_method_50,2,4000,2353.027842070523,80.99642411470413,8634600.981982175,0.0014020121538480237,"1674827.2416885465, 1673846.8138848022, 1678662.3066678664, 1679728.1469193154, 1676793.3192814095, 1677202.1534523899, 1681903.5413430964, 1677588.350705052, 1677817.2362437434, 1678233.2640513985, 1681320.6593967222, 1672585.9410337647, 1680116.4789071332, 1674369.53185654, 1682863.400631168, 1678535.958591437, 1684042.8613937323, 1677454.1859466543, 1676090.5568449574, 1676592.202019802"
estimate_importance_variance_reduction_method,2,5,51175.362645969864,15.841046416759491,5187571381.010704,0.030491981065594004,"1605998.1555083918, 1673553.8420847307, 1728442.1824666953, 1603668.5040869415, 1687409.7845747096, 1705950.1362093305, 1653811.835717582, 1701469.9150489606, 1587036.8001600571, 1641889.7366162268, 1663494.6266017442, 1725685.1877157008, 1708257.9285258942, 1720579.5329098832, 1635760.050422022, 1544719.931624188, 1903888.3135959618, 1621116.7046173343, 1688220.7178779326, 1684653.741433547"
estimate_importance_variance_reduction_method,2,100,13279.19328808902,15.113746309280396,230843324.2299644,0.007912184484317682,"1694255.1670843319, 1679852.8228206302, 1663425.3006159852, 1654689.7198787713, 1689529.0962298242, 1665361.0443663038, 1685215.870161604, 1688949.063305052, 1673945.812324453, 1657165.2438825762, 1662201.6441869435, 1710298.1696235659, 1692940.4477231968, 1690608.3292999845, 1674805.030350392, 1704044.1414897859, 1665861.1634836607, 1684864.8760581482, 1671309.280799132, 1690434.1218538748"
estimate_importance_variance_reduction_method,2,500,8500.499391546182,24.698048746585847,85603385.57940479,0.0050648799166942825,"1685780.9584334895, 1671183.5054307452, 1657636.7610826138, 1686111.7061619281, 1673793.075955717, 1692924.5178375694, 1675690.0480284973, 1664429.1266061591, 1680380.4153314736, 1666705.528955088, 1686730.5501688377, 1674122.3342471558, 1668284.4148854678, 1674232.8642737416, 1672998.473446467, 1691464.6977357764, 1666646.7806004111, 1673478.0440307586, 1675389.6429331938, 1665368.257362135"
estimate_importance_variance_reduction_method,2,1000,4676.210422129219,33.63389526605606,33729595.22177373,0.0027862415091557038,"1675083.080515396, 1675033.170443316, 1669391.5659967132, 1679799.8261876993, 1689878.0694289182, 1677213.3613820502, 1686617.9573164703, 1683745.1419544967, 1667537.3025420115, 1675646.206125469, 1673045.743153641, 1678724.882046269, 1674293.659863883, 1677398.2718979984, 1682842.9865995708, 1680021.147057932, 1688897.5710774574, 1679338.124688205, 1683188.357438081, 1674887.4934320373"
estimate_importance_variance_reduction_method,2,2000,2224.359285008372,52.785945093631746,10582517.18014491,0.0013253471532926173,"1677551.7085534164, 1677476.1944825873, 1674595.5379073676, 1678744.7613612672, 1677144.301799541, 1676414.9164984731, 1678529.948324839, 1678881.4335850487, 1679495.2709811246, 1671484.5297919346, 1675090.1463096088, 1673325.86180814, 1679940.3006376422, 1678563.073016547, 1684761.3595481552, 1686236.3029039537, 1677831.7947613352, 1677857.8708307564, 1678935.1336540862, 1679172.4644306647"
estimate_importance_variance_reduction_method,2,3000,2544.0028673832303,71.49936677217484,8420657.364490885,0.001515801417953903,"1680067.1999028644, 1678684.5993589817, 1685545.8354784166, 1679713.1330844176, 1675566.263236184, 1679744.1956279993, 1679116.3954683032, 1682026.3845322544, 1678449.5506039134, 1680689.9994036749, 1679604.3763709108, 1682690.3940881938, 1678694.657249085, 1672487.1326237274, 1679931.4354883786, 1685261.426979969, 1683465.9677631345, 1679733.0343346081, 1680307.8045394013, 1678284.9370669306"
estimate_importance_variance_reduction_method,2,4000,2217.331862490578,90.93832111358643,8844359.856847432,0.0013211599815116395,"1677918.3659740733, 1681133.2854252614, 1680475.8327409048, 1679982.1826081395, 1677613.343769763, 1672337.8015191213, 1677736.7405888618, 1676337.8269549, 1677807.628871984, 1678025.4808178395, 1676668.420175896, 1674474.8112505667, 1676176.5612916844, 1668301.459825837, 1681218.9990954942, 1677210.7188798925, 1676467.1823047951, 1677232.1435881585, 1680044.3002003913, 1679224.5229929937"
estimate_variance_reduction_method,1,0,26810.0,13.092784106731415,0.0,0.015974288604928014,"1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0, 1651512.0"
