Method,Noise Scale,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
Variance Reduction (Multiplicative Noise),0.1,1000,8754.983210565197,0.0042645812034606935,304671166.07016194,0.005452277517586984,"1595218.3786986999, 1616704.6630583245, 1611148.2829057064, 1595131.5826807308, 1590735.8460496848, 1588136.9718648158, 1601403.6840723567, 1607032.7782668232, 1604550.9805753203, 1612032.753876678, 1636504.9701031726, 1604891.1757847585, 1607628.4944961958, 1606387.6154770444, 1605648.7314753712, 1619988.028169933, 1580305.4486356208, 1636611.591112456, 1651983.0919617077, 1587523.5197090043"
Variance Reduction (Multiplicative Noise),0.1,2000,8013.62945993736,0.004594182968139649,127876504.61715254,0.005001926678236758,"1612846.768387249, 1601792.6042443793, 1622659.4174143358, 1613259.5891893532, 1604982.6656118603, 1598106.5392246656, 1595990.5951873276, 1569394.208999142, 1598736.3753820772, 1597314.4527187406, 1594320.2849723215, 1599049.340277394, 1588845.7492993434, 1588497.923656743, 1613150.0815322716, 1611029.8371917836, 1594341.819991248, 1600970.4258204605, 1598237.3862405093, 1609925.9688807048"
Variance Reduction (Multiplicative Noise),0.1,3000,6559.103405027371,0.004847002029418945,219387873.1002884,0.00410450582494922,"1597928.4367942747, 1575192.1767355865, 1600598.3554158006, 1603403.4911680955, 1597639.7924297797, 1591875.9283610582, 1563717.2824244031, 1613721.7706364302, 1611981.8319602555, 1592554.271723091, 1611278.5414094096, 1588221.4905631263, 1621856.3609056221, 1606616.0531884937, 1630946.9620278988, 1602726.9103552762, 1602256.0504414188, 1608122.967029547, 1593131.8548672246, 1589486.9522098843"
Variance Reduction (Multiplicative Noise),0.1,4000,6638.279117493192,0.004772186279296875,99450189.78283146,0.004142108652267692,"1621176.662477059, 1581871.329646402, 1594294.3609002642, 1600259.3129115256, 1603865.4661926737, 1610226.3452889605, 1599362.4916982828, 1605838.3332350983, 1606550.1199206912, 1597976.21884021, 1605700.580624509, 1608942.42543314, 1589777.786569149, 1599603.6269752483, 1621844.848593017, 1591421.5365148147, 1611838.7574217313, 1614743.3367338378, 1613181.1331571692, 1602288.1332224875"
Variance Reduction (Multiplicative Noise),0.5,5,233237.19231976764,0.0039180397987365724,92431062566.41927,0.14479469303142098,"1588425.0888282591, 1804465.7655034524, 2295502.439991142, 1500460.9374246066, 1754642.3050142967, 2593933.013420357, 1412066.3890201796, 1902891.3863018348, 1616209.513289257, 1822492.0688904852, 1597895.535411767, 1528594.802447301, 2073698.5307302363, 1693014.7312616461, 1668865.892773519, 1918219.9182065644, 1264613.4074079574, 1416461.8975288186, 1803862.9410856795, 1598433.7796607462"
Variance Reduction (Multiplicative Noise),0.5,100,128654.9649908252,0.003952622413635254,45254102855.476395,0.08080337945585263,"1690870.58711523, 1571908.4941564503, 1403593.747418835, 1539526.290883839, 1500217.0729637665, 1597069.9057064706, 1747838.562702658, 1440224.2120727596, 1559207.5617718725, 1521216.367752771, 1755542.9109453142, 1587538.6587052674, 1630221.7092589068, 1338005.8247491408, 1541608.19428053, 1516127.4047528312, 1547542.2682641156, 713801.6041858514, 1653853.4442880405, 1659105.8817579139"
Variance Reduction (Multiplicative Noise),0.5,500,112696.2129391368,0.004178965091705322,23167155185.279415,0.07031018336086774,"1619909.509936464, 1742721.4411912367, 1642339.7711570805, 1609434.5221788734, 1537130.6838029455, 1676785.5446182806, 1812264.1508662978, 1620931.985014607, 1643156.4389594703, 1590276.7072777736, 1424841.2750694796, 1750608.8449414812, 1332819.611567615, 1240248.363148133, 1797308.2913932602, 1618823.701714169, 1649069.3019224703, 1657361.9367561461, 1572124.6840614947, 1309083.7147940851"
Variance Reduction (Multiplicative Noise),0.5,1000,53401.659970473695,0.00433506965637207,3695131312.970154,0.03356753707802095,"1552022.866194156, 1621215.5604068572, 1516104.016947348, 1551236.226124569, 1732555.4328282494, 1505175.559682831, 1511692.0070127768, 1628387.7039046015, 1571998.4916784482, 1677264.5987139705, 1586308.1880850524, 1578448.7366927518, 1611343.8293200822, 1514209.7275073407, 1654044.096939076, 1551789.1654010138, 1610116.3781344502, 1644214.8920514584, 1594843.391722793, 1509467.6826426731"
Variance Reduction (Multiplicative Noise),0.5,2000,43939.65054841516,0.004544854164123535,5483380580.907763,0.027331802011782036,"1758790.966355417, 1602679.4475378233, 1649321.1610138656, 1755622.955664887, 1574842.8471570353, 1577395.0132611545, 1546595.4518215973, 1610779.8682054533, 1691022.2215629758, 1655608.4427649246, 1593296.062287166, 1641000.8179023142, 1487514.2679721608, 1587579.4093839473, 1505384.0481941106, 1635135.0641386556, 1553756.789738207, 1654627.8482238483, 1668209.5785773739, 1740751.2946581142"
Variance Reduction (Multiplicative Noise),0.5,3000,43421.61234049428,0.004884350299835205,5191400220.041763,0.02737922707661549,"1635039.0640879201, 1681713.2175028499, 1753541.3721449769, 1617344.3720398666, 1605325.0510658983, 1580080.39937706, 1559596.6165124057, 1593440.659170213, 1598390.4845996024, 1620685.6693712554, 1469251.3156061145, 1471549.2515134858, 1617065.1878342514, 1489167.5317295587, 1588935.9392942407, 1627021.9955888458, 1493646.815537243, 1589229.5742998605, 1696205.3859994886, 1542964.0388838286"
Variance Reduction (Multiplicative Noise),0.5,4000,27876.711035197273,0.004883313179016113,2084989884.2193456,0.017640453328825818,"1517807.6314707582, 1614238.4927028904, 1609300.8518240328, 1613967.2445439084, 1604876.7189032922, 1470656.8742513664, 1613423.7134117193, 1682683.6341461733, 1626493.2181687567, 1643942.1156276825, 1553914.4195547255, 1569620.3592275323, 1554454.6763760706, 1550224.8519508578, 1608562.5831226704, 1566680.179846972, 1570203.2135040623, 1551074.3708227405, 1601357.2275476651, 1581405.0654525373"
Variance Reduction (Multiplicative Noise),1,5,450096.36777996056,0.0038933634757995607,521747238709.35724,0.28514733930504793,"1634358.8082669256, 1517862.8503091189, 1579431.8133542498, 591861.7154958948, 1563927.810090292, 172474.4582531651, 1360056.8288750856, 1538431.0056690387, 1695695.2959427426, 280521.28466250765, 1527839.4113054469, 2246970.532274096, -834123.8682327656, 2066002.628090286, 1689903.5562131368, 1908444.136040509, 1573746.8733598932, 1650822.955350795, 1107677.0623241563, 1825328.4993755408"
Variance Reduction (Multiplicative Noise),1,100,551403.4006441252,0.0038534879684448244,1866247741210.2031,0.33431784954900323,"7563191.752121321, 1375532.7917312637, 1718666.6448597934, 1489205.9008185908, 1328625.395827136, 1553562.0848881435, 2715827.24550919, 1691161.4898161506, 1662906.844957635, 1675199.8691882316, 2248221.2595567, 2046305.4698271134, 1415406.2287392525, 1591601.7238488838, 1660536.1312990913, 1711401.1625855353, 1200460.704592779, 436103.9636819114, 1534274.307256458, 1472353.0655385663"
Variance Reduction (Multiplicative Noise),1,500,109015.78683433826,0.004017829895019531,22038022942.82492,0.06924816473108356,"1766356.850447534, 1636994.0103590616, 1616309.9506988458, 1892732.7887021236, 1507853.3654526565, 1673619.149035804, 1760182.3554495256, 1664377.637708733, 1609464.026225592, 1318530.1393777293, 1559431.2888730057, 1613164.0371915235, 1826566.8877788337, 1344869.2665236362, 1674833.8315584345, 1787138.092120934, 1514905.5732580703, 1624656.5611858165, 1533800.0446705061, 1407183.5931280141"
Variance Reduction (Multiplicative Noise),1,1000,81350.57435945951,0.004224419593811035,17369574336.048237,0.05137963472695324,"1753884.7313662283, 1596037.0607154293, 1800110.0316069277, 1711600.507747744, 1946404.7072845178, 1604908.5485485478, 1590637.0968683374, 1575699.6441015797, 1682642.7544817068, 1427500.236100341, 1670714.2455234453, 1722169.0042976383, 1676729.3415789194, 1340870.1680751953, 1502730.1369467692, 1571836.7865556327, 1574178.4496134517, 1491573.8624175189, 1722065.571508635, 1625785.1322881235"
Variance Reduction (Multiplicative Noise),1,2000,79828.8518411204,0.004492735862731934,19129245414.84427,0.050724809620438883,"1534482.459209202, 1687319.113566026, 1284194.5553443413, 1666273.760709279, 1554748.530414203, 1757718.884694129, 2016674.5870293828, 1639809.4260291106, 1655485.2666600684, 1594983.2219620328, 1546116.4482486865, 1568631.307791441, 1521385.0858149033, 1513686.885667065, 1561896.7455443116, 1502794.3828414874, 1493386.113357606, 1579443.9756388692, 1711184.8313572397, 1503521.0241131745"
Variance Reduction (Multiplicative Noise),1,3000,56123.7651933825,0.004947841167449951,7612221249.043093,0.03488822479902528,"1702027.4904184274, 1484774.045713422, 1761148.1367307252, 1534803.0692104567, 1518022.0588287096, 1543804.1540764135, 1511709.3916482276, 1556969.7482216547, 1632906.7035412288, 1563598.7611598356, 1625703.4709841907, 1638911.1932645792, 1746853.9021307742, 1608783.1137052828, 1460733.371803252, 1636873.6867145349, 1516132.5636101107, 1621539.7660697037, 1688537.7193779107, 1729790.2928605927"
Variance Reduction (Multiplicative Noise),1,4000,47997.8978284357,0.004780423641204834,9190877878.084799,0.030283068402166193,"1558373.8058227645, 1643704.7654420102, 1539883.9790426886, 1589363.976774484, 1594422.7017812748, 1558161.9010331288, 1596605.1505277369, 1667598.2522991765, 1668111.6667586835, 1601787.2015963646, 1724134.1412055062, 1576784.5231945815, 1656732.1203764833, 1497032.2083957277, 1494690.1536916837, 1584794.7148894623, 1551206.4806236597, 1898890.4852301367, 1689314.0133191824, 1440226.250636168"
Variance Reduction (Multiplicative Noise),5,5,2565595.1148693296,0.003913795948028565,24657808456923.9,1.5486214277337775,"17053455.10999334, 1082695.4453555879, 2614781.9916719873, 1835164.9240565344, 1996812.0756914096, 208842.5412719124, 2493425.9860088453, 1236924.0535576274, 2661338.913835858, 883784.7057204788, 1494342.0560421126, 1299722.6467578826, 2250995.3855456547, -1398660.2463321143, 2762954.902695126, 11976081.776378706, 2120730.0217410014, 178446.7855924694, -10000408.272178132, 1241023.1815593007"
Variance Reduction (Multiplicative Noise),5,100,953115.2658350563,0.003927171230316162,1102776565763.0012,0.6319357145080735,"3057962.0650859005, 2323471.424104147, 3211484.957889082, 2591498.477918599, 770806.0586081737, -169869.00525649916, 1672511.2959779268, -56784.61650828241, 982757.7728961356, 2011378.743417861, 1988592.0106521647, 2843458.879645972, 2449856.6904407186, 2491601.924079559, 2694696.392499096, 1438197.5188645062, 1191378.8624525892, 700574.8725297363, 188728.61348838857, 445112.85467497195"
Variance Reduction (Multiplicative Noise),5,500,967919.3970776016,0.004081130027770996,2530751424171.578,0.6421372723564561,"180350.05020451886, 1979350.282122043, 1195405.79132773, 1557230.6355384209, 1162081.0632557275, 1013479.2551381704, 613802.2092561135, 1708537.890352834, 2386585.0792485885, 6905319.159451716, -2141521.6852768725, 2038191.6653177086, 1428452.134724838, 352095.0168803958, 1912983.9908234312, 1773849.3262718308, 1885682.5944083196, 1592752.1958199514, 1867290.1755901475, 2997974.0488732806"
Variance Reduction (Multiplicative Noise),5,1000,640850.7202189772,0.00430757999420166,1009030474340.7952,0.42480675201340334,"1343553.4196835367, 1889699.4456283534, 3844990.3633374167, 1938821.142104647, 2239105.3129811813, 1768239.525637137, 1601713.195386366, 326382.0230774794, 2319892.4363647886, 770684.0440626888, 2197181.692296699, 1452103.7723420653, 1767866.0946485691, 125183.64694001463, -985371.4739357773, 2184045.4669706193, 1455872.9346900024, 207606.74598923465, 1940742.9435087366, 1880197.5010442038"
Variance Reduction (Multiplicative Noise),5,2000,465247.8137391487,0.004557037353515625,603008408139.2756,0.2772557590403625,"2323491.7941593523, 1304579.9004595762, 1130353.6737645783, 2438431.9032545374, 1270006.8720059793, 1527082.1164233226, 2634098.899119424, 1266281.3264229773, 858683.1876736438, 1534681.0119016785, 1912463.4345499955, 1576493.5579728829, 2460119.488465842, -7829.177118686338, 1960904.3905710494, 1292587.8252163562, 3857358.736284183, 1401570.9254019158, 1481437.755742629, 1455161.7667683966"
Variance Reduction (Multiplicative Noise),5,3000,335491.4217406604,0.00477755069732666,104051921611.56882,0.2976616896161911,"2122271.17190421, 1429321.2350588955, 1796734.4413411946, 1093110.9020217555, 2018783.9554031603, 1111178.3162828484, 1790827.615791127, 1755954.9404109037, 1274538.2822044909, 1493980.0150377639, 1354818.440893601, 1785333.0324426207, 1694844.755198803, 1541954.993465756, 1167640.6000976893, 1976228.1602603737, 1360606.0348953765, 1929627.360627195, 1779776.9099403329, 1082954.988250942"
Variance Reduction (Multiplicative Noise),5,4000,357577.24495422526,0.00484691858291626,402915110884.6456,0.22383704660859993,"1429461.4246395624, 3256094.508265721, 1556926.4618562255, 1953874.3727816457, 2966138.6785485563, 1844403.5768543084, 1211962.7354264033, 1717263.091881508, 1347550.9068324072, 1527377.2077944372, 1430765.078048684, 1541333.2150946872, 1459403.1633989655, 2493432.749886172, 1652006.8925191052, 2270174.736647206, 1009975.2065682347, 950433.48689966, 859618.401219165, 909865.6296727322"
Importance Sampling (Multiplicative Noise),0.01,5,3700.6,0.003919732570648193,16804630.2475,0.002310868217040004,"1606718.0, 1597200.0, 1597223.0, 1600946.0, 1606266.0, 1598219.0, 1603798.0, 1600859.0, 1600991.0, 1604538.0, 1609163.0, 1606639.0, 1598941.0, 1605349.0, 1601742.0, 1596588.0, 1595415.0, 1594762.0, 1604395.0, 1602907.0"
Importance Sampling (Multiplicative Noise),0.01,100,726.65,0.004057300090789795,1104916.8275,0.0004536241829092346,"1601958.0, 1601452.0, 1602927.0, 1602827.0, 1599789.0, 1601019.0, 1603158.0, 1602224.0, 1600767.0, 1601489.0, 1603544.0, 1602567.0, 1601057.0, 1600993.0, 1602786.0, 1601866.0, 1600091.0, 1601050.0, 1603000.0, 1600763.0"
Importance Sampling (Multiplicative Noise),0.01,500,298.35,0.004436278343200683,669380.6399999999,0.00018631068001233813,"1600941.0, 1600591.0, 1600357.0, 1601959.0, 1600133.0, 1600734.0, 1601628.0, 1603071.0, 1599933.0, 1602062.0, 1602320.0, 1600875.0, 1602182.0, 1600464.0, 1601226.0, 1601706.0, 1600375.0, 1601419.0, 1601455.0, 1600601.0"
Importance Sampling (Multiplicative Noise),0.01,1000,314.9,0.004930806159973144,332672.92750000005,0.00019664127276411672,"1601815.0, 1602595.0, 1601982.0, 1600722.0, 1601509.0, 1602658.0, 1601762.0, 1601761.0, 1600494.0, 1601993.0, 1601901.0, 1602390.0, 1602105.0, 1601890.0, 1601234.0, 1602721.0, 1602048.0, 1601179.0, 1601777.0, 1601371.0"
Importance Sampling (Multiplicative Noise),0.01,2000,159.6,0.005521345138549805,345287.64749999996,9.967677375357746e-05,"1602092.0, 1600846.0, 1600240.0, 1600689.0, 1600031.0, 1601635.0, 1601096.0, 1601177.0, 1601202.0, 1601695.0, 1601561.0, 1600983.0, 1601935.0, 1602044.0, 1601747.0, 1601675.0, 1600797.0, 1601994.0, 1601286.0, 1601974.0"
Importance Sampling (Multiplicative Noise),0.01,3000,180.6,0.006038939952850342,579644.01,0.00011278218247760485,"1600021.0, 1601962.0, 1602273.0, 1601233.0, 1602362.0, 1601312.0, 1601683.0, 1601718.0, 1600311.0, 1602064.0, 1600868.0, 1602424.0, 1600922.0, 1600373.0, 1601408.0, 1601316.0, 1599735.0, 1601637.0, 1601789.0, 1601915.0"
Importance Sampling (Multiplicative Noise),0.01,4000,118.05,0.0057869434356689455,740399.7274999999,7.37032515190115e-05,"1601594.0, 1600300.0, 1600101.0, 1602765.0, 1602854.0, 1601710.0, 1601652.0, 1601728.0, 1602495.0, 1601266.0, 1601016.0, 1602102.0, 1602655.0, 1601003.0, 1601227.0, 1601771.0, 1600207.0, 1601160.0, 1602782.0, 1600459.0"
Importance Sampling (Multiplicative Noise),0.1,5,31551.85,0.00411607027053833,1325395644.1275,0.019712200473220594,"1647447.0, 1615599.0, 1601894.0, 1604469.0, 1577356.0, 1526809.0, 1606724.0, 1579828.0, 1634076.0, 1527270.0, 1619698.0, 1577329.0, 1566056.0, 1579256.0, 1654549.0, 1629283.0, 1542821.0, 1630900.0, 1603643.0, 1564296.0"
Importance Sampling (Multiplicative Noise),0.1,100,7438.1,0.004088795185089112,155515037.98999998,0.004650976981025048,"1605572.0, 1589542.0, 1589626.0, 1603755.0, 1596535.0, 1591180.0, 1599285.0, 1581203.0, 1591412.0, 1607049.0, 1610557.0, 1571838.0, 1579859.0, 1598519.0, 1619396.0, 1584160.0, 1614997.0, 1613199.0, 1592615.0, 1587943.0"
